description,10x_level,10x_rank,10x_rarity,cast_level,cast_rank,cast_value,fid_level,fid_rank,fid_value,follower_level,follower_rank,follower_value,holder_level,holder_rank,holder_value,luck_level,luck_rank,luck_value,minter_level,minter_rank,minter_value,neynar_level,neynar_rank,neynar_value,nft_level,nft_rank,nft_value,token_level,token_rank,token_value,volume_level,volume_rank,volume_value,warplet_colours,warplet_keywords,warplet_traits,warplet_user_is_pro,warplet_username_farcaster,warplet_username_x,warplet_wallet,secret_level
"This Warplet has distinctive light blue skin mottled with reddish-pink blotches, giving it a unique, slightly distressed appearance. It sports a sharp black business suit, a crisp white collared shirt, and a classic black tie, presenting a surprisingly formal vibe. Its most striking features are its large, wide-set eyes, one with a reddish-brown iris and the other with a light blue-green iris, both surrounded by prominent bloodshot whites. A subtle, closed-mouth smile adds to its intriguing expression, all set against a solid dark teal background.",26,30253,1382,2,3494,62,4,673,12518,3,1664,2749,3,1647,1,1,9180,821,3,1922,27/10/2025 21:49,4,1074,0.97,3,1905,37,1,5770,9,2,2924,96484,Light Blue | Black | White | Red | Blue-Green | Dark Teal,Warplet | Black Suit | White Shirt | Black Tie | Formal Attire | Business Suit | Mismatched Eyes | Red Eye | Blue Eye | Light Blue Skin | Blotchy Skin | Subtle Smile | Dark Teal Background | Quirky | Distinguished,"Light Blue Skin | Reddish-Pink Blotches | Black Business Suit | White Collared Shirt | Black Tie | Large Bloodshot Eyes | Mismatched Eye Colors (Red-Brown Iris, Blue-Green Iris) | Subtle Closed-Mouth Smile | Dark Teal Background",1,mfl-tw.eth,mfl_tw,0x15616a9a3a17710e90ca4766c986e3f12422cd27,2
"This Warplet has a unique light tan skin tone, covered in an eye-catching array of vibrant blue and magenta polka dots, giving it a playful yet distinct appearance. Its huge, wide-open mouth reveals rows of menacingly sharp, white teeth and a fascinating spotted texture inside, hinting at a wild, untamed spirit. With its comically wide, surprised eyes, this Warplet exudes an energetic and quirky vibe, ready to make a bold statement. The solid orange background makes its colorful spots pop, highlighting its one-of-a-kind charm.",32,30273,1383,2,3302,71,3,1274,21303,2,3631,1263,5,415,1,1,9625,376,6,215,27/10/2025 4:40,2,4575,0.66,4,818,84,1,6140,7,6,278,1744826,Tan | Orange | White | Blue | Magenta | Dark Brown,Tan Warplet | Polka Dot Monster | Blue Dots | Magenta Dots | Wide-Eyed Creature | Sharp Teeth | Spotted Mouth | Orange Background | Playful Monster | Quirky Character,Light Tan Skin | Blue Polka Dots | Magenta Polka Dots | Wide White Eyes | Small Black Pupils | Huge Open Mouth | Sharp White Teeth | Spotted Inner Mouth Texture | Solid Orange Background,1,ch0mx2.eth,ch0mx2eth,0x09623519507ca933b6867dd3dfb5fb5acce72f02,3
"This Warplet has a truly distinctive orange and light beige cracked skin pattern, giving it a unique mosaic-like appearance that sets it apart. Its wide-open, surprised eyes with small black pupils convey an energetic and goofy expression, full of character. The Warplet's massive, gaping mouth reveals rows of sharp, pointed teeth and a light pink, bumpy tongue, showcasing a playful yet monstrous charm. This particular Warplet stands out with its vibrant, earthy tones against a plain orange background, making it an exceptionally eye-catching and memorable creature.",30,30275,1384,1,5568,20,3,1437,190916,2,4372,1008,3,2377,1,9,24,9977,2,3246,28/10/2025 1:58,2,4360,0.68,2,3092,32,2,4608,16,4,1191,391397,Orange | Beige | Black | Pink,Orange Warplet | Beige Warplet | Cracked Skin | Mosaic Pattern | Wide Eyes | Sharp Teeth | Gaping Mouth | Goofy Monster | Cartoon Creature | Earthy Tones,Cracked Skin Pattern | Orange And Beige Skin | Wide-Open Surprised Eyes | Small Black Pupils | Gaping Mouth | Sharp Pointed Teeth | Pink Bumpy Tongue | Plain Orange Background,1,bitcoin247,bitcoin_24h7,0xff5bae3f0b7d495a67b97ce544ba1b89065a3244,2
"This Warplet has a distinctive owl-like appearance, featuring a plump purple body adorned with striking red feather-like patterns on its chest, wings, and around its large, wide eyes. It sports a pair of retro white 3D glasses with one red and one blue lens, adding a quirky, cinematic touch. Perched atop its head is a small, bone-colored skull, giving it an edgy, unique vibe. Its small red beak and wide-eyed expression contribute to its charmingly peculiar look, all set against a simple tan background. This Warplet is truly one-of-a-kind, ready to stand out in any collection.",29,30281,1385,3,1300,395,2,4073,300025,3,1295,3477,5,555,1,1,9481,520,5,453,27/10/2025 7:15,2,2959,0.82,4,1136,57,2,4347,18,2,4682,28973,Purple | Red | White | Tan | Black | Bone,Owl Warplet | Purple Owl | 3D Glasses | Red Blue Lenses | Skull Headpiece | Quirky Warplet | Cinematic Warplet | Edgy Warplet | Tan Background,Owl-Like Body | Purple Skin/Feathers | Red Feather Patterns | Large Wide Eyes | Small Red Beak | White 3D Glasses | Red Lens | Blue Lens | Small Skull Accessory | Tan Background,1,blueowl,cryptobug93,0x0d239b1ce43bef341b44d2a621cd39f2f247d4b2,1
"This Warplet has a truly captivating and distinct monochrome aesthetic, showcasing a textured grey body adorned with subtle, organic bumps. Its most striking features are its dramatically wide-open, bulging white eyes with piercing black pupils, conveying an intense and undeniably mischievous gaze that draws you in. A massive, cavernous mouth is flung wide open, revealing an impressive array of razor-sharp, pointed white teeth lining both the upper and lower jaws, with even more formidable teeth visible on its prominent tongue, creating a uniquely formidable and expressive grin. This Warplet stands proudly against a clean, solid light grey background, allowing its singular grey hue and intensely expressive features to command full attention and truly stand out.",25,30282,1386,2,3495,62,2,3020,260202,2,4118,1086,3,1957,1,3,2081,7920,3,2451,28/10/2025 0:04,2,4708,0.65,3,1577,42,4,801,711,1,6074,8911,Grey | White | Black,Grey Warplet | Monochrome Warplet | Wide-Eyed Monster | Toothy Grin | Sharp Teeth | Bumpy Skin | Grey Background | Cartoon Monster | Pfp Monster,Grey Skin | Bumpy Skin Texture | Wide-Open Eyes | Bulging White Eyeballs | Small Black Pupils | Huge Open Mouth | Razor-Sharp Pointed Teeth (Upper Jaw) | Razor-Sharp Pointed Teeth (Lower Jaw) | Visible Tongue With Teeth,1,nanibinox,gyarahayu,0xc9d0b1e70f7132ef026e7c0b84624f47bb3b3aed,1
"This Warplet has a dark blue body, adorned with large, round, glowing white goggles that emit bright beams of light. It wears a stylish dark blue jacket with a lighter grey-blue inner lining or lapel, featuring visible pockets. Its small, clawed hands and feet match its body color. The Warplet stands against a solid light grey background, exuding a mysterious and focused aura, ready to explore the digital depths with its powerful gaze. This unique Warplet is a true beacon in the Farcaster universe.",27,30284,1387,2,3314,71,6,265,3864,4,1001,4780,1,6309,1,1,6364,3637,2,3486,28/10/2025 2:51,4,954,0.98,1,5259,10,3,2014,105,3,1318,340666,Dark Blue | White | Light Grey | Grey,Dark Blue Warplet | Glowing Goggles | Light Beams | Blue Jacket | Jacket Pockets | Grey Background | Mysterious Vibe | Focused Character,Dark Blue Body | Glowing White Goggles | Light Beams From Eyes | Dark Blue Jacket | Grey-Blue Jacket Lining/Lapel | Jacket Pockets | Clawed Hands | Clawed Feet | Light Grey Background,0,spengrah.eth,spengrah,0x5c16eb739870723d500d0d62ba20ba2bb9742615,1
"This Warplet has a tan, dog-like appearance with a hilariously exaggerated expression. One eye is playfully winking, while the other is a single, large, bulging white eye with a black pupil, giving it a wonderfully chaotic charm. Its wide-open mouth reveals a massive, toothy grin with numerous sharp white teeth and a pink tongue. This unique Warplet is casually holding a black computer keyboard in its left hand, suggesting a mischievous, tech-savvy vibe. The solid light blue background makes its distinctive features pop, highlighting its one-of-a-kind personality.",28,30291,1388,1,7785,6,3,1383,188723,2,4417,994,5,601,1,2,3820,6181,5,505,27/10/2025 7:43,3,1932,0.91,3,2100,35,2,3761,25,2,3987,46266,Tan | Light Blue | Black | White | Pink,Dog Warplet | Canine Monster | Winking Eye | Bulging Eye | Wide Grin | Sharp Teeth | Computer Keyboard | Tech-Savvy | Mischievous | Tan Creature | Light Blue Background,"Tan Body | Dog-Like Head | Winking Left Eye | Large, Bulging Right Eye | Wide Open Mouth | Toothy Grin | Sharp Teeth | Pink Tongue | Floppy Ears | Holding Black Keyboard | Solid Light Blue Background",1,woodybuzz,woodyybuzz8,0x9d2a30d01980401573f21eb82ea6d0121b849cf0,6
"This Warplet has a distinctive reddish-orange, lumpy skin tone, setting it apart with its vibrant hue. Its most striking features are the two large, wide-set eyes with prominent white sclera and tiny black pupils, giving it a perpetually surprised or innocent expression. The Warplet is styled in a sleek black tank top, a classic look that contrasts sharply with its unique skin. Its small, clawed hands and feet match its body color, completing its endearing yet peculiar appearance. This Warplet's simple yet bold presentation against a matching reddish-orange background makes it a truly iconic and eye-catching collectible.",26,30295,1389,2,3152,79,3,2050,233030,3,1660,2754,3,1736,1,1,9770,231,3,2045,27/10/2025 22:35,3,1574,0.94,3,1294,50,4,757,809,1,6257,7559,Reddish-Orange | Black | White,Reddish-Orange Warplet | Black Tank Top | Wide-Eyed Creature | Lumpy Skin | Cartoon Pfp | Unique Character,Reddish-Orange Skin | Lumpy Skin | Large Wide-Set Eyes | White Sclera | Small Black Pupils | Black Tank Top | Clawed Hands | Clawed Feet | Solid Background,1,perfumer,alinaperfumer,0x05dc7355a56ccbc19a83d51e5105ca2bdd8f3d12,1
"This Warplet has a mottled pinkish-brown skin tone and a remarkably chill vibe, sporting droopy, half-closed eyes that suggest a relaxed or perhaps slightly mischievous disposition. A striking black tribal-style tattoo pattern adorns its neck and upper chest, making this Warplet truly stand out. It casually wears a simple light pink t-shirt, contrasting with its unique skin and bold ink. The Warplet is set against a solid purple background, highlighting its distinctive features. This Warplet is a rare gem, embodying a laid-back yet edgy aesthetic that's sure to turn heads.",27,30302,1390,4,1158,465,2,5064,350037,2,2879,1612,2,3050,1,1,8421,1580,2,4619,28/10/2025 5:35,3,2109,0.9,4,686,104,3,1273,243,4,1043,458056,Purple | Pink | Pinkish-Brown | Black,Warplet | Tribal Tattoo | Pink T-Shirt | Droopy Eyes | Chill | Edgy | Purple Background | Mottled Skin,Mottled Skin | Droopy Eyes | Half-Closed Eyes | Black Tribal Neck Tattoo | Light Pink T-Shirt | Solid Purple Background,1,jiablo.eth,jiablo_eth,0x29192ca67d544720c0202737c21738be69851098,1
"This Warplet has a striking white astronaut suit with bold orange accents and a prominent American flag patch on its right arm, ready for an epic space journey. Its clear helmet visor reveals a wide-eyed, light purple face with large, light green eyes and an incredibly wide-open mouth showcasing a formidable array of sharp white teeth and a pink tongue, giving it an intensely excited or roaring expression. The Warplet is actively blasting off, propelled by fiery orange rocket boosters from its feet, leaving a trail of white smoke against a serene light blue-grey background. This Warplet is truly out of this world, a legendary cosmic voyager!",26,30316,1391,2,5061,26,2,4941,343358,4,1189,3877,3,2388,1,2,4329,5672,2,3280,28/10/2025 2:03,3,1440,0.95,3,2175,35,3,1300,234,2,4213,39961,White | Light Blue-Grey | Orange | Light Purple | Light Green | Red | Blue | Grey | Yellow,Astronaut Warplet | Space Suit | Rocket Boosters | Flying | American Flag | Sharp Teeth | Wide Eyes | Purple Monster | Space Explorer | Cosmic,White Astronaut Suit | Clear Helmet Visor | Orange Suit Accents | American Flag Patch | Backpack | Light Purple Skin | Wide Light Green Eyes | Wide-Open Mouth | Sharp White Teeth | Pink Tongue | Rocket Boosters | Fire | Smoke Trail | Flying Pose,1,birdnals,birdnalslaw,0x8f389154c73624f94c8795f2a8de2654f02d4460,2
"This Warplet has a striking reddish-purple skin tone with subtle texture. Its wide-open mouth showcases an impressive array of sharp, pointed white teeth, contrasting with its vibrant green tongue. The Warplet's large, round white eyes with tiny black pupils convey an intense, almost manic energy, giving it a truly memorable and expressive look. This unique combination of features makes it a standout, embodying a playful yet fierce vibe against its solid dark purple background.",25,30316,1392,1,5556,20,4,797,14503,2,4490,971,4,1263,1,2,4115,5886,3,1379,27/10/2025 19:21,2,4121,0.7,3,1323,49,2,4166,20,2,3106,86031,Reddish-Purple | White | Green | Dark Purple | Black,Reddish-Purple Warplet | Green Tongue | Wide-Open Mouth | Sharp Teeth | White Eyes | Dark Purple Background | Expressive Warplet,Reddish-Purple Skin | Textured Skin | Wide White Eyes | Small Black Pupils | Wide-Open Mouth | Sharp White Teeth | Green Tongue | Solid Dark Purple Background,1,m12g,mroynaldig,0x9474459dd00722574964c69e24134fe1b4ce3a7c,2
"This Warplet has a dark grey, wolf-like appearance, shrouded in a tattered, dark hooded cloak. Its eyes glow with an intense neon blue light, from which vibrant neon pink and blue flames dramatically erupt, giving it an otherworldly and powerful aura. A subtle smirk reveals two small fangs, hinting at a mischievous or confident demeanor. The Warplet stands against a solid dark purple background, emphasizing its striking and unique spectral presence. This Warplet is truly one-of-a-kind, radiating an undeniable mystic energy.",23,30324,1393,3,2205,163,2,3573,278498,4,1226,3708,2,2577,1,2,2800,7201,2,3712,28/10/2025 3:33,2,3477,0.77,3,1303,50,1,5426,11,2,4025,44950,Dark Grey | Black | Neon Blue | Neon Pink | Dark Purple,Wolf Warplet | Hooded Warplet | Glowing Eyes | Flame Eyes | Neon Flames | Dark Cloak | Mystical Warplet | Spectral Warplet | Grey Fur | Fangs | Smirk,Wolf-Like Features | Dark Hooded Cloak | Tattered Cloak | Glowing Neon Blue Eyes | Neon Pink Flames | Neon Blue Flames | Small Fangs | Smirking Expression | Pointed Ears | Furry Texture,1,steventswu,steventswu,0xb8a37c0923653b8a1f3ff3244eb92904127e8621,2
"This Warplet has vibrant green, bumpy skin and is rocking a sleek black hoodie with white drawstrings and a front pouch pocket. Its eyes are playfully squinted shut, conveying a sense of pure joy or mischievous glee. The Warplet's mouth is wide open, revealing an impressive array of sharp, white, pointed teeth with a cool purple glow, and a pink tongue. This Warplet stands out with its unique green hue and chill streetwear vibe, making it a truly iconic and expressive character against a solid purple background.",27,30337,1394,5,457,1484,2,2855,255122,4,964,5028,1,5368,1,1,5326,4675,4,971,27/10/2025 18:46,3,2138,0.9,4,932,72,2,4045,22,1,7281,2311,Green | Black | Purple | Pink | White,Green Warplet | Black Hoodie | Squinting Eyes | Wide Open Mouth | Sharp Teeth | Pink Tongue | Purple Background | Streetwear | Happy Expression | Mischievous,Green Skin | Closed Eyes | Wide Open Mouth | Sharp Teeth | Pink Tongue | Black Hoodie | White Hoodie Drawstrings | Hoodie Front Pocket | Purple Background | Pink Outline,0,onlymoms,dian_aba,0x7702719ecc13e2a5fb00e6fccb03e3ce4ed25019,4
"This Warplet has a unique light beige skin tone covered in distinctive green, brown, and orange spots, setting it apart. Its large, wide eyes with small pupils convey a slightly bewildered or unimpressed gaze, complemented by a subtle, downturned mouth. Dressed in a sleek black spaghetti strap tank top and classic blue denim jeans, this Warplet exudes a casual, relatable vibe. The solid dark olive green background highlights its striking appearance, making it a truly memorable and expressive character.",26,30348,1395,3,1897,214,1,6058,433759,4,1234,3672,4,913,1,2,3924,6077,4,896,27/10/2025 15:42,2,2761,0.84,2,4781,11,3,2460,68,1,5424,16799,Beige | Black | Blue | Dark Green | Green | Brown | Orange,Beige Warplet | Spotted Skin | Black Tank Top | Blue Jeans | Casual Warplet | Unimpressed Expression | Wide Eyes | Dark Green Background,Light Beige Skin | Spotted Skin | Large Wide Eyes | Small Black Pupils | Downturned Mouth | Black Spaghetti Strap Tank Top | Blue Denim Jeans | Solid Dark Olive Green Background,1,johnivan0,k8johnivan0,0x99fb06521b23d9eb9a0b314abd47475a63b9b21c,3
"This Warplet has a unique orange, speckled skin tone, setting it apart with a distinct appearance. Its face features droopy, tired-looking eyes with heavy eyelids and a small, downturned mouth, giving it a perpetually sleepy yet charmingly chill vibe. It's dressed in a sharp black collared shirt with three orange buttons, black pants, and a crisp white belt with a silver buckle. Over this, it sports a striking orange and white checkered haori, detailed with white triangular patterns on the orange squares and clean white trim. Adding a touch of mystique, vibrant pink glowing energy rings swirl around its head, mid-body, and feet, creating a captivating contrast with its relaxed demeanor, all against a serene light blue background.",27,30358,1396,3,2350,144,1,6099,438431,2,4866,870,4,815,1,2,2919,7082,4,778,27/10/2025 14:31,3,2318,0.88,5,622,120,1,5205,12,2,4386,35595,Orange | Black | White | Pink | Light Blue,Orange Warplet | Sleepy Warplet | Tired Eyes | Black Shirt | White Belt | Checkered Haori | Triangular Pattern Jacket | Pink Glow | Light Blue Background | Chill Vibe,Orange Speckled Skin | Droopy Eyes | Downturned Mouth | Black Collared Shirt | Orange Buttons | Black Pants | White Belt | Silver Buckle | Orange And White Checkered Haori | White Triangular Patterns | White Haori Trim | Pink Glowing Rings | Light Blue Background,1,filtrekahve,forpleasuress,0xb52b09059a7c009de0ec85d28fdbfa991965bdcc,1
"This Warplet has a vibrant purple body, making a bold statement with its unique street-style ensemble. It's flexing a crisp navy blue hoodie, perfectly accessorized with a chunky gold chain featuring a distinctive gold cat-head pendant. Above its large white eyes, it rocks a pair of retro white-framed 3D glasses, one lens red and the other blue, adding a playful, vintage tech touch. Topping it all off is a yellow and dark blue baseball cap, worn backward with a striking red brim and a prominent 'W' logo. With its mouth wide open, revealing a pink tongue and a formidable array of sharp white teeth, this Warplet exudes an energetic, hypebeast vibe against a solid purple background. This one-of-a-kind Warplet is definitely a rare find, bringing serious drip to any collection.",27,30361,1397,3,2411,138,2,5012,346911,2,4148,1077,3,1950,1,1,7904,2097,3,2440,28/10/2025 0:03,3,1716,0.93,2,3047,32,4,885,560,4,848,583782,Purple | Navy Blue | Yellow | Red | Gold | White | Pink,Warplet | Hoodie | Baseball Cap | 3D Glasses | Gold Chain | Cat Pendant | Wide Mouth | Sharp Teeth | Hypebeast | Retro | Quirky,Navy Blue Hoodie | Backward Baseball Cap | Yellow Cap Front | Dark Blue 'W' Logo | Red Cap Brim | White-Framed 3D Glasses | Red 3D Lens | Blue 3D Lens | Gold Chain | Gold Cat-Head Pendant | Wide Open Mouth | Sharp Teeth | Pink Tongue | Large White Eyes | Solid Purple Background,1,tsun,tsun_crypto,0x34d47ba9ff99b12bebea9449641cba579aa008e2,2
"This Warplet sports a vibrant purple hue and an incredibly wide, excited grin, revealing rows of sharp, pointed teeth and a pink tongue. It is dressed in a dark purple short-sleeved shirt, providing a stylish contrast to its body. A truly unique sight, this Warplet proudly clutches a glowing pink spiral lollipop in each hand, emitting a soft, ethereal light. Its large, wide-open eyes with small black pupils convey a mischievous and energetic personality, all presented against a clean, solid grey background. This Warplet is a sweet-toothed, glow-stick-wielding sensation!",25,30371,1398,4,823,769,3,1787,211639,2,3587,1279,2,3002,1,3,1690,8311,2,4538,28/10/2025 5:20,2,4966,0.63,2,4391,13,2,4104,21,3,1483,290085,Purple | Pink | Grey | White,Purple Warplet | Glowing Lollipops | Spiral Candy | Sweet-Toothed | Excited Grin | Dark Purple Shirt | Grey Background | Mischievous Warplet,Dark Purple Short-Sleeved Shirt | Two Glowing Pink Spiral Lollipops | Wide Excited Grin | Solid Grey Background,1,andoriginal,andoriginaldao,0xd30f5ae7e32f40ba1d3340846b1f294a8c808202,1
"This Warplet has a striking purple body, intricately detailed with vibrant orange, light blue, and white geometric and tribal patterns. It's rocking a stylish purple jacket, complete with bold orange trim and matching patterns, exuding an undeniable urban swagger. The Warplet's most iconic feature is its round, silver-rimmed sunglasses, which dramatically reflect a fiery cityscape engulfed in orange flames and dark building silhouettes, hinting at a powerful, world-shaking presence. With its mouth wide open, showcasing a formidable set of sharp white teeth and a pink tongue, this Warplet projects an intense and unforgettable vibe, truly a standout in any collection.",27,30379,1399,5,394,1741,2,4482,319474,3,2091,2169,2,3171,1,4,894,9107,2,4859,28/10/2025 6:35,2,4031,0.71,2,4394,13,3,2197,87,2,3866,50199,Purple | Orange | Light Blue | White | Dark Grey | Red,Warplet | Purple Monster | Round Sunglasses | Burning City | Cityscape Reflection | Purple Jacket | Orange Trim | Geometric Patterns | Tribal Patterns | Sharp Teeth | Open Mouth | Edgy | Cool | Intense,Round Sunglasses | Burning City Reflection In Sunglasses | Purple Jacket | Orange Jacket Trim | Geometric Patterns | Tribal Patterns | Wide Open Mouth | Sharp Teeth | Pink Tongue | Dark Background,1,elenathere,helena_pota,0xe76c24d6a1fe31fdabb7fd0fef822f9a7b6b0549,7
"This Warplet has a formidable presence, featuring a brown, textured body emanating a fiery orange aura. It sports a regal red cape with a plush white fur trim, secured by a distinctive gold chain. Its face conveys a stern, grumpy expression with a furrowed brow and a downturned mouth. Intense glowing blue flames erupt from its eyes, while a prominent, flaming orange Bitcoin symbol sits atop its head, radiating power. The Warplet stands against a solid light blue-grey background, embodying a unique blend of crypto-king energy and raw, untamed might.",28,30384,1400,3,1575,290,2,4963,344111,1,6644,462,2,3126,1,7,145,9856,2,4778,28/10/2025 6:13,2,2686,0.85,4,824,84,2,3416,32,3,2227,158606,Brown | Red | White | Gold | Orange | Blue | Cyan | Grey,Warplet | Brown Warplet | Red Cape | White Fur Trim | Gold Chain | Bitcoin Symbol | Flaming Bitcoin | Glowing Eyes | Blue Flames | Orange Aura | Grumpy Expression | Crypto King | Regal Warplet,Brown Textured Skin | Grumpy Expression | Furrowed Brow | Downturned Mouth | Glowing Blue Eyes | Blue Flames From Eyes | Flaming Bitcoin Symbol On Head | Orange Fiery Aura | Red Cape | White Fur Trim On Cape | Gold Chain Clasp,1,kryptoremontier,kryptoremontier,0xfb7ed318ea0e4ea699d7fb8ae5ab8f9f3feca76c,1
"This Warplet has a distinct, lumpy beige skin texture, setting it apart with its unique, wrinkled appearance. It sports large, wide white eyes with small black pupils and a charmingly puckered, light pink mouth. Dressed in a cozy, long grey robe, this Warplet holds a dark brown pipe in its right hand, exuding a contemplative and quirky vibe. The solid grey-brown background perfectly complements its earthy tones, highlighting its one-of-a-kind character. This Warplet's peculiar charm and sophisticated accessory make it a truly standout piece.",24,30384,1401,1,7529,7,3,2272,239267,3,1565,2924,3,2309,1,3,1862,8139,2,3115,28/10/2025 1:31,2,2977,0.82,2,2668,33,1,5422,11,4,665,788065,Beige | Grey | White | Dark Brown | Light Pink,Lumpy Creature | Beige Skin | Grey Robe | Pipe | Wide Eyes | Puckered Lips | Unique Warplet | Contemplative Vibe,Lumpy Beige Skin | Large White Eyes | Small Black Pupils | Puckered Light Pink Lips | Grey Robe | Dark Brown Pipe | Solid Grey-Brown Background,1,nakurysh,nakurysh1,0xcf58dbc3ae18518d25d9641af05219639effdf97,2
"This Warplet has a striking purple complexion and an enthusiastic wide-open grin, showcasing its formidable set of sharp, white teeth and a textured pink tongue. It's geared up with a cool dark purple bandana, featuring a mesmerizing galaxy swirl and scattered stars. Its standout feature is the large, round, black-rimmed glasses, where each lens brilliantly displays a glowing purple Ethereum logo, giving it a truly visionary gaze. Dressed in a dark t-shirt with a vibrant light blue geometric pattern, this Warplet is set against a deep cosmic backdrop of swirling nebulae and twinkling stars, making it a stellar navigator of the digital frontier.",30,30411,1402,3,1428,340,5,544,9140,3,2244,2042,2,3777,1,1,8040,1961,1,6091,28/10/2025 19:28,4,911,0.98,1,6502,8,6,160,4688,4,714,732606,Purple | Black | Blue | White | Pink,Warplet | Purple Warplet | Galaxy Bandana | Ethereum Glasses | Eth Eyes | Geometric Pattern Shirt | Cosmic Background | Starry Background | Tech-Themed | Enthusiastic Expression,Purple Skin | Wide Open Mouth | Sharp White Teeth | Pink Textured Tongue | Dark Purple Galaxy Bandana | Round Black-Rimmed Glasses | Purple Ethereum Logo Lenses | Dark T-Shirt With Light Blue Geometric Pattern | Cosmic Starry Background,1,peth,petheth,0x31b0bcb02eecb7e5ec9bfc7eada7f99fd8852b69,1
"This Warplet has a sleek, dark aesthetic, sporting a black zip-up hoodie with the hood pulled up. Its body and hoodie are adorned with striking neon yellow and cyan glowing circuit-like patterns, giving it a high-tech, cyberpunk vibe. A prominent, bright cyan visor covers its eyes, adding to its mysterious and futuristic look. Its small, downturned mouth suggests a stoic or serious expression. The Warplet's claws also glow with a vibrant cyan, matching the visor. This Warplet is ready for the digital frontier, standing out against a solid black background.",28,30413,1403,3,1357,366,1,5555,390604,2,3045,1521,2,3644,1,7,111,9890,1,5747,28/10/2025 18:34,2,3295,0.79,5,553,144,4,1046,388,1,6060,9177,Black | Neon Yellow | Neon Cyan,Cyberpunk Warplet | Black Hoodie | Neon Yellow Glow | Neon Cyan Visor | Glowing Claws | Hooded Warplet | Techwear | Futuristic Warplet | Dark Aesthetic,Black Zip-Up Hoodie | Hood Up | Neon Yellow Glowing Circuit Patterns | Neon Cyan Glowing Circuit Patterns | Neon Cyan Visor | Neon Cyan Glowing Claws | Downturned Mouth | Solid Black Background,1,mudge,onlymudge,0xfcd8f38392866fcebab167e68748ae4b637a6a24,1
"This Warplet has distinctive pale, spotted skin, immediately catching the eye with its unique complexion. It projects an undeniably cool and rebellious aura, sporting sleek dark, round-rimmed glasses with reflective grey lenses. Dressed in a classic black t-shirt, this Warplet holds a formidable wooden baseball bat, bristling with sharp metal spikes and a neatly white-wrapped handle, showcasing its readiness for anything. A lit cigarette dangles casually from its full, pinkish lips, a wisp of smoke adding to its edgy charm. Set against a clean, light blue-grey background, this Warplet's bold presence and unique combination of traits make it a truly standout individual.",28,30415,1404,2,4335,38,3,2460,244798,3,1900,2393,4,940,1,5,508,9493,4,934,27/10/2025 18:45,3,2078,0.9,1,5496,9,1,7885,2,2,3879,49692,Beige | Black | Grey | Reddish-Brown | Light Blue-Grey | Pink,Spotted Warplet | Round Glasses | Black T-Shirt | Spiked Bat | Smoking Warplet | Edgy Vibe | Rebellious Character | Baseball Bat | Cigarette | Pale Skin,Pale Spotted Skin | Round Dark-Rimmed Glasses | Grey Reflective Lenses | Black T-Shirt | Full Pinkish Lips | Lit Cigarette | Smoke | Spiked Baseball Bat | White Wrapped Bat Handle,1,mizucoin,mizucoin,0xf1c818bc98fc97ec6be67b509e1170b3871f0034,2
"This Warplet has a vibrant purple, textured body, topped with a striking spiky black and white hairstyle. Its wide-open, bug-eyed gaze is accentuated by bold red, thick-rimmed rectangular glasses, giving it a distinctively surprised and intellectual expression. The Warplet is casually styled in a blue and white horizontally striped short-sleeved shirt, adding a touch of classic cool to its unique appearance. Set against a clean light grey background, this Warplet's standout features, from its edgy hair to its prominent eyewear, make it an instantly recognizable and truly iconic profile.",27,30415,1405,1,7801,6,4,1084,17838,4,1003,4774,3,1686,1,3,2343,7658,3,1982,27/10/2025 22:07,4,1264,0.96,2,2612,33,2,4171,20,1,6469,6065,Purple | Black | White | Red | Blue | Grey,Purple Warplet | Spiky Hair | Black And White Hair | Red Glasses | Rectangular Glasses | Striped Shirt | Blue And White Stripes | Surprised Expression | Quirky Character | Intellectual Vibe,Purple Body | Spiky Black And White Hair | Wide-Open Eyes | Red Rectangular Glasses | Blue And White Striped Shirt | Light Grey Background,1,nekofar.eth,nekofar,0xc36955010c2073bc98a00bcbffeb76883be77f98,3
"This Warplet has a smooth, light teal body with dark purple skin around its eyes and feet. It is wearing a pristine white hooded robe, elegantly trimmed with a bright gold border along the hood, sleeves, and hem. Its large, wide-set eyes with black pupils convey a sense of innocent wonder or perhaps mild surprise. The Warplet's small, flat mouth gives it a calm, slightly pensive expression. The overall presentation is clean and distinctive, set against a solid teal-blue background, making this Warplet a truly unique and captivating presence.",23,30420,1406,3,1997,196,2,2814,254208,1,6334,527,3,2285,1,2,3540,6461,2,3068,28/10/2025 1:23,2,3574,0.76,3,1814,38,2,3410,32,3,1584,267344,Teal | Purple | White | Gold,Warplet In Robe | Hooded Warplet | White Robe | Gold Trim | Teal Skin | Purple Face Mask | Wide Eyes | Calm Expression,Light Teal Body | Dark Purple Eye Mask | White Hooded Robe | Gold Trim On Robe | Wide-Set Eyes | Small Flat Mouth | Dark Purple Feet,1,jonybd,bdjony999,0xa5793284fd05a7911fd7e3ca82d7c3c1a913d0ae,8
